Time Value Amplification Displacement
8212 8106 193 1998
8243 8104 193 1998
8275 8103 193 1998
8306 8101 193 1998
8339 8099 193 1998
8371 8098 193 1998
8403 8098 193 1998
8436 8098 193 1998
8467 8097 193 1997
8498 8097 193 1997
8531 8099 193 1997
8562 8104 193 1997
8594 8110 193 1997
8629 8116 193 1997
8659 8120 193 1997
8691 8121 193 1997
8722 8120 193 1997
8754 8118 193 1997
8787 8118 193 1997
8819 8119 193 1997
8850 8120 193 1997
8882 8121 193 1997
8914 8121 193 1997
8947 8121 193 1997
8979 8122 193 1997
9011 8122 193 1997
9042 8125 193 1997
9074 8128 193 1997
9106 8131 193 1997
9139 8133 193 1997
9171 8134 193 1997
9202 8134 193 1997
9234 8133 193 1997
9266 8132 193 1997
9298 8132 193 1997
9331 8132 193 1997
9363 8134 193 1997
9394 8136 193 1997
9427 8139 193 1997
9459 8144 193 1996
9490 8151 193 1996
9522 8158 193 1996
9554 8164 193 1996
9586 8170 193 1996
9618 8174 193 1996
9650 8177 193 1996
9682 8182 193 1996
9714 8188 193 1996
9746 8193 193 1996
9777 8192 193 1996
9810 8188 193 1996
9842 8185 193 1996
9875 8182 193 1996
9907 8180 193 1996
9938 8177 193 1996
9971 8172 193 1996
10002 8169 193 1996
10034 8168 193 1996
10066 8167 193 1996
10098 8165 193 1996
10130 8162 193 1996
10162 8159 193 1996
10194 8157 193 1996
10226 8156 193 1996
10258 8155 193 1996
10290 8154 193 1996
10322 8154 193 1996
10354 8154 193 1996
10385 8156 193 1996
10418 8156 193 1996
10449 8157 193 1996
10481 8157 193 1996
10513 8158 193 1996
10546 8157 193 1996
10577 8157 193 1996
10610 8155 193 1996
10642 8151 193 1996
10674 8147 193 1996
10706 8143 193 1996
10737 8139 193 1996
10770 8136 193 1996
10802 8133 193 1996
10834 8129 193 1996
10865 8126 193 1996
10897 8124 193 1996
10930 8122 193 1996
10963 8122 193 1996
10994 8121 193 1996
11025 8120 193 1996
11057 8118 193 1996
11089 8117 193 1996
11121 8116 193 1996
11154 8117 193 1996
11186 8118 193 1996
11218 8119 193 1996
11249 8120 193 1996
11281 8122 193 1996
11313 8122 193 1996
11345 8120 193 1996
11377 8117 193 1996
11409 8117 193 1996
11441 8117 193 1994
11473 8117 193 1994
11506 8119 193 1994
11537 8126 193 1994
11569 8138 193 1994
11601 8146 193 1994
11633 8147 193 1994
11666 8144 193 1994
11697 8141 193 1994
11729 8140 193 1994
11761 8138 193 1994
11793 8135 193 1994
11825 8133 193 1994
11857 8131 193 1994
11889 8130 193 1994
11921 8129 193 1994
11953 8127 193 1994
11985 8127 193 1994
12017 8126 193 1994
12049 8125 193 1994
12081 8124 193 1994
12113 8124 193 1994
12145 8124 193 1994
12176 8123 193 1994
12208 8121 193 1994
12240 8121 193 1994
12273 8120 193 1994
12304 8120 193 1994
12337 8120 193 1994
12368 8121 193 1994
12401 8120 193 1994
12432 8119 193 1994
12464 8117 193 1994
12496 8113 193 1994
12528 8108 193 1994
12560 8102 193 1994
12592 8097 193 1994
12625 8093 193 1994
12656 8091 193 1994
12688 8088 193 1994
12720 8083 193 1994
12752 8078 193 1994
12784 8076 193 1994
12816 8075 193 1994
12848 8074 193 1994
12881 8072 193 1994
12912 8070 193 1994
12945 8067 193 1994
12976 8064 193 1994
13008 8062 193 1994
13040 8062 193 1994
13072 8063 193 1994
13103 8064 193 1994
13136 8063 193 1994
13169 8064 193 1994
13200 8064 193 1994
13231 8065 193 1994
13263 8066 193 1994
13296 8067 193 1994
13328 8068 193 1994
13360 8069 193 1994
13391 8069 193 1994
13423 8068 193 1994
13456 8066 193 1994
13487 8063 193 1994
13520 8059 193 1994
13551 8055 193 1994
13584 8052 193 1994
13615 8051 193 1994
13648 8050 193 1994
13679 8049 193 1994
13711 8048 193 1994
13743 8046 193 1994
13775 8044 193 1994
13807 8042 193 1994
13840 8042 193 1994
13872 8042 193 1994
13904 8043 193 1994
13935 8043 193 1994
13967 8043 193 1994
14000 8045 193 1994
14031 8048 193 1994
14063 8050 193 1994
14096 8050 193 1994
14127 8048 193 1994
14159 8047 193 1994
14191 8046 193 1994
14223 8046 193 1994
14255 8046 193 1994
14287 8045 193 1994
14320 8043 193 1994
14351 8042 193 1994
14384 8039 193 1994
14415 8037 193 1994
14447 8035 193 1994
14479 8033 193 1994
14512 8029 193 1994
14543 8024 193 1994
14575 8021 193 1994
14607 8021 193 1994
14639 8022 193 1994
14671 8022 193 1994
14703 8022 193 1994
14735 8022 193 1994
14767 8022 193 1994
14799 8024 193 1994
14831 8026 193 1994
14862 8025 193 1994
14895 8024 193 1994
14927 8022 193 1994
14958 8021 193 1994
14992 8022 193 1994
15023 8024 193 1994
15054 8025 193 1994
15086 8026 193 1994
15120 8027 193 1994
15150 8027 193 1994
15183 8027 193 1994
15215 8027 193 1994
15247 8025 193 1994
15278 8022 193 1994
15311 8019 193 1994
15343 8015 193 1994
15374 8013 193 1994
15407 8012 193 1994
15438 8011 193 1994
15471 8008 193 1994
15503 8007 193 1994
15534 8007 193 1994
15566 8008 193 1994
15599 8009 193 1994
15630 8009 193 1994
15662 8008 193 1994
15694 8009 193 1994
15727 8010 193 1994
15758 8011 193 1994
15790 8012 193 1994
15822 8014 193 1994
15854 8016 193 1994
15886 8016 193 1994
15918 8014 193 1994
15950 8014 193 1994
15982 8014 193 1994
16014 8013 193 1994
16046 8013 193 1994
16078 8011 193 1994
16110 8011 193 1994
16142 8012 193 1994
16174 8014 193 1994
16206 8015 193 1994
16238 8018 193 1994
16269 8021 193 1994
16301 8024 193 1994
16334 8026 193 1994
16366 8028 193 1994
16397 8032 193 1994
16429 8036 193 1994
16461 8040 193 1994
16493 8045 193 1994
16526 8050 193 1994
16558 8054 193 1994
16590 8059 193 1994
16621 8063 193 1994
16653 8066 193 1994
16686 8069 193 1994
16718 8073 193 1994
16750 8079 193 1994
16782 8085 193 1994
16814 8087 193 1994
16846 8086 193 1994
16877 8084 193 1994
16909 8083 193 1994
16941 8084 193 1994
16973 8085 193 1994
17005 8087 193 1994
17037 8088 193 1994
17069 8090 193 1994
17101 8090 193 1994
17133 8090 193 1994
17166 8090 193 1994
17197 8091 193 1994
17229 8092 193 1994
17261 8092 193 1994
17293 8091 193 1994
17326 8090 193 1994
17357 8090 193 1994
17389 8089 193 1994
17421 8087 193 1994
17452 8085 193 1994
17485 8084 193 1994
17517 8084 193 1994
17549 8084 193 1994
17581 8084 193 1994
17613 8083 193 1994
17645 8081 193 1994
17676 8079 193 1994
17709 8077 193 1994
17741 8076 193 1994
17773 8074 193 1994
17804 8070 193 1994
17837 8066 193 1994
17869 8063 193 1994
17900 8062 193 1994
