Time Value Amplification Displacement
9363 8158 0 2061
9394 8153 0 2061
9427 8145 0 2061
9459 8136 0 2061
9490 8127 0 2061
9522 8116 0 2061
9554 8135 0 2061
9586 8162 0 2061
9618 8177 0 2061
9650 8164 0 2061
9682 8135 0 2061
9714 8123 0 2061
9746 8125 0 2061
9777 8125 0 2061
9810 8123 0 2061
9842 8117 0 2061
9875 8119 0 2061
9907 8121 0 2061
9938 8106 0 2061
9971 8095 0 2061
10002 8084 0 2061
10034 8085 0 2061
10066 8081 0 2061
10098 8075 0 2061
10130 8069 0 2061
10162 8061 0 2061
10194 8055 0 2061
10226 8050 0 2061
10258 8039 0 2061
10290 8035 0 2061
10322 8029 0 2061
10354 8018 0 2061
10385 8004 0 2061
10418 8004 0 2059
10449 8044 0 2059
10481 8064 0 2059
10513 8068 0 2059
10546 8043 0 2059
10577 8023 0 2059
10610 8029 0 2059
10642 8045 0 2059
10674 8052 0 2059
10706 8048 0 2059
10737 8048 0 2059
10770 8055 0 2059
10802 8056 0 2059
10834 8050 0 2059
10865 8055 0 2059
10897 8057 0 2059
10930 8067 0 2059
10963 8067 0 2059
10994 8064 0 2059
11025 8064 0 2059
11057 8069 0 2059
11089 8071 0 2059
11121 8071 0 2059
11154 8068 0 2059
11186 8066 0 2059
11218 8061 0 2059
11249 8057 0 2059
11281 8049 0 2059
11313 8049 0 2059
11345 8076 0 2059
11377 8105 0 2059
11409 8122 0 2059
11441 8115 0 2059
11473 8094 0 2059
11506 8097 0 2059
11537 8114 0 2059
11569 8126 0 2059
11601 8126 0 2059
11633 8127 0 2059
11666 8140 0 2059
11697 8144 0 2059
11729 8136 0 2059
11761 8128 0 2059
11793 8128 0 2059
11825 8133 0 2059
11857 8123 0 2059
11889 8118 0 2059
11921 8114 0 2059
11953 8115 0 2059
11985 8124 0 2059
12017 8135 0 2059
12049 8142 0 2059
12081 8143 0 2059
12113 8134 0 2059
12145 8131 0 2059
12176 8128 0 2059
12208 8120 0 2059
12240 8127 0 2059
12273 8140 0 2059
12304 8171 0 2059
12337 8183 0 2059
12368 8161 0 2059
12401 8135 0 2059
12432 8127 0 2056
12464 8139 0 2056
12496 8125 0 2056
12528 8113 0 2056
12560 8156 0 2056
12592 8255 0 2056
12625 8335 0 2056
12656 8350 0 2056
12688 8311 0 2056
12720 8295 0 2056
12752 8318 0 2056
12784 8353 0 2056
12816 8358 0 2056
12848 8343 0 2056
12881 8334 0 2056
12912 8336 0 2056
12945 8345 0 2056
12976 8343 0 2056
13008 8326 0 2056
13040 8311 0 2056
13072 8298 0 2056
13103 8288 0 2056
13136 8277 0 2056
13169 8271 0 2056
13200 8288 0 2056
13231 8304 0 2056
13263 8311 0 2056
13296 8288 0 2056
13328 8253 0 2056
13360 8238 0 2056
13391 8236 0 2056
13423 8233 0 2056
13456 8226 0 2056
13487 8222 0 2056
13520 8231 0 2056
13551 8230 0 2056
13584 8214 0 2056
13615 8200 0 2056
13648 8191 0 2056
13679 8192 0 2056
13711 8187 0 2056
13743 8177 0 2056
13775 8168 0 2056
13807 8158 0 2056
13840 8151 0 2056
13872 8143 0 2056
13904 8136 0 2056
13935 8128 0 2056
13967 8118 0 2056
14000 8111 0 2056
14031 8103 0 2056
14063 8101 0 2056
14096 8117 0 2056
14127 8137 0 2056
14159 8149 0 2056
14191 8134 0 2056
14223 8106 0 2056
14255 8096 0 2056
14287 8104 0 2056
14320 8118 0 2056
14351 8132 0 2056
14384 8164 0 2056
14415 8223 0 2056
14447 8272 0 2056
14479 8297 0 2056
14512 8312 0 2056
14543 8321 0 2056
14575 8329 0 2056
14607 8313 0 2056
14639 8299 0 2056
14671 8290 0 2056
14703 8281 0 2056
14735 8273 0 2056
14767 8254 0 2056
14799 8240 0 2056
14831 8230 0 2056
14862 8214 0 2056
14895 8201 0 2056
14927 8202 0 2056
14958 8223 0 2056
14992 8249 0 2056
15023 8239 0 2056
15054 8211 0 2056
15086 8187 0 2056
15120 8187 0 2056
15150 8193 0 2056
15183 8188 0 2056
15215 8179 0 2056
15247 8172 0 2056
15278 8168 0 2056
15311 8159 0 2056
15343 8143 0 2056
15374 8135 0 2056
15407 8131 0 2056
15438 8124 0 2056
15471 8112 0 2056
15503 8094 0 2056
15534 8084 0 2056
15566 8073 0 2056
15599 8062 0 2056
15630 8051 0 2056
15662 8035 0 2056
15694 8019 0 2056
15727 8006 0 2056
15758 8011 0 2056
15790 8034 0 2056
15822 8043 0 2056
15854 8030 0 2056
15886 8007 0 2056
15918 7996 0 2056
15950 8006 0 2056
15982 8008 0 2056
16014 8008 0 2056
16046 8008 0 2056
16078 8013 0 2056
16110 8012 0 2056
16142 7999 0 2056
16174 7990 0 2056
16206 7993 0 2056
16238 7998 0 2056
16269 8004 0 2056
16301 8001 0 2056
16334 7999 0 2056
16366 8003 0 2056
16397 7996 0 2056
16429 7996 0 2056
16461 7995 0 2056
16493 7997 0 2056
16526 7992 0 2056
16558 7986 0 2056
16590 8007 0 2056
16621 8039 0 2056
16653 8061 0 2056
16686 8053 0 2056
16718 8029 0 2056
16750 8027 0 2056
16782 8049 0 2056
16814 8067 0 2056
16846 8072 0 2056
16877 8075 0 2056
16909 8090 0 2056
16941 8100 0 2056
16973 8102 0 2056
17005 8103 0 2056
17037 8104 0 2056
17069 8111 0 2056
17101 8125 0 2056
17133 8175 0 2056
17166 8266 0 2056
17197 8356 0 2056
17229 8398 0 2056
17261 8392 0 2056
17293 8358 0 2056
17326 8331 0 2056
17357 8315 0 2056
17389 8319 0 2056
17421 8295 0 2056
17452 8250 0 2056
17485 8229 0 2056
17517 8238 0 2056
17549 8256 0 2056
17581 8249 0 2056
17613 8202 0 2056
17645 8162 0 2056
17676 8150 0 2056
17709 8153 0 2056
17741 8144 0 2056
17773 8108 0 2056
17804 8087 0 2056
17837 8067 0 2056
17869 8049 0 2056
17900 8037 0 2056
17932 8031 0 2056
17965 8027 0 2056
17996 8016 0 2056
18029 8000 0 2056
18061 7988 0 2056
18092 7980 0 2056
18124 7982 0 2056
18157 7983 0 2056
18190 7978 0 2056
18221 7974 0 2056
18253 7964 0 2056
18284 7955 0 2056
18316 7940 0 2056
18348 7942 0 2056
18380 7973 0 2056
18412 8009 0 2056
18444 8024 0 2056
18476 8013 0 2056
18508 7998 0 2056
18540 8009 0 2056
18572 8029 0 2056
18604 8041 0 2056
18636 8049 0 2056
18668 8059 0 2056
18700 8079 0 2056
18733 8079 0 2056
18764 8077 0 2056
18796 8073 0 2056
18828 8083 0 2056
18860 8099 0 2056
18891 8102 0 2056
18924 8096 0 2056
18955 8087 0 2056
18988 8079 0 2056
19020 8081 0 2056
19052 8080 0 2056
19084 8076 0 2056
19116 8073 0 2056
19148 8052 0 2056
19180 8040 0 2056
19211 8040 0 2056
19243 8058 0 2056
19275 8084 0 2056
19307 8085 0 2056
19340 8064 0 2056
19372 8046 0 2056
19404 8045 0 2056
19436 8056 0 2056
19467 8062 0 2056
19499 8066 0 2056
19531 8071 0 2056
19563 8071 0 2056
19595 8068 0 2056
19627 8061 0 2056
19659 8065 0 2056
19691 8072 0 2056
19724 8079 0 2056
19755 8082 0 2056
19788 8076 0 2056
19820 8073 0 2056
19851 8071 0 2056
19884 8066 0 2056
19916 8061 0 2056
19947 8055 0 2056
19979 8054 0 2056
20011 8059 0 2056
20044 8054 0 2056
20075 8054 0 2056
20107 8060 0 2056
20139 8088 0 2056
20172 8110 0 2056
20204 8101 0 2056
20234 8084 0 2056
20267 8083 0 2056
20299 8102 0 2056
20330 8118 0 2056
20362 8114 0 2056
20395 8114 0 2056
20427 8125 0 2056
20460 8136 0 2056
20490 8143 0 2056
20523 8135 0 2056
20555 8143 0 2056
20587 8144 0 2056
20619 8141 0 2056
20651 8135 0 2056
20683 8130 0 2056
20715 8134 0 2056
20746 8135 0 2056
20779 8135 0 2056
20811 8134 0 2056
20842 8127 0 2056
20875 8125 0 2056
20907 8122 0 2056
20939 8117 0 2056
20971 8110 0 2056
21003 8113 0 2056
21034 8137 0 2056
21067 8147 0 2056
21100 8130 0 2056
21131 8098 0 2056
21163 8081 0 2056
21195 8087 0 2056
